"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo",""
"305","58562087","154.88","6/11/2022","6:20:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"308","58397108","-1.46","6/11/2022","10:11:53 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"308","58458611","558.6","6/11/2022","1:51:37 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"402","58420711","562.26","6/11/2022","11:18:42 AM","CALOLIVEIRA","1","Erro de Laçto",""
"406","58420517","439.12","6/11/2022","11:02:34 AM","CALOLIVEIRA","1","Erro de Laçto",""
"408","58420487","439.12","6/11/2022","10:58:49 AM","CALOLIVEIRA","1","Erro de Laçto",""
"411","57747296","-6","6/11/2022","8:38:15 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"411","57747296","-8","6/11/2022","1:19:00 PM","ECSOUSA","1","HOSPEDE NÃO CONSUMIU",""
"411","57747296","-1.85","6/11/2022","1:29:00 PM","ECSOUSA","1","ERRO DE LANÇAMENTO",""
"411","57747296","-37","6/11/2022","1:29:00 PM","ECSOUSA","1","ERRO DE LANÇAMENTO",""
"505","58302468","-6","6/11/2022","10:40:37 AM","IGPESSOA","1","HOSPEDE NÃO CONSUMIU",""
"505","58302468","-20","6/11/2022","10:40:37 AM","IGPESSOA","2","HOSPEDE NÃO CONSUMIU",""
"508","58420509","439.12","6/11/2022","11:01:23 AM","CALOLIVEIRA","1","Erro de Laçto",""
"608","58420479","439.12","6/11/2022","10:56:30 AM","CALOLIVEIRA","1","Erro de Laçto",""
"705","58435476","312.25","6/11/2022","9:45:12 AM","IGPESSOA","1","ERRO DE LANÇAMENTO",""
"711","58181091","235.47","6/11/2022","1:50:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"805","58087532","1587.6","6/11/2022","1:54:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"806","58420495","439.12","6/11/2022","11:00:02 AM","CALOLIVEIRA","1","Erro de Laçto",""
"903","57483388","170.95","6/11/2022","7:43:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"906","58420541","439.12","6/11/2022","11:06:58 AM","CALOLIVEIRA","1","Erro de Laçto",""
"","","-30","6/11/2022","10:30:28 PM","CALOLIVEIRA","2","HOSPEDE NÃO CONSUMIU",""
"","","-24","6/11/2022","10:30:28 PM","CALOLIVEIRA","4","HOSPEDE NÃO CONSUMIU",""
"","","-12","6/11/2022","10:30:28 PM","CALOLIVEIRA","2","HOSPEDE NÃO CONSUMIU",""
"","","-10","6/11/2022","10:30:28 PM","CALOLIVEIRA","1","HOSPEDE NÃO CONSUMIU",""
"","","-8","6/11/2022","10:30:29 PM","CALOLIVEIRA","2","HOSPEDE NÃO CONSUMIU",""
"","","-6","6/11/2022","10:30:28 PM","CALOLIVEIRA","1","HOSPEDE NÃO CONSUMIU",""
